Case Name,User ID,Hacker,Activity with Assets ID,Activity with Asset Time,Number of Transactions Before Activity with Asset,Mixer Activity,Anonymous Activity,Mixer Transaction #,Amount from Mixer,Suspicious Activity (3rd Party),Number of Incoming Transactions,Number of Outgoing Transactions,Total Amount [USD] In,Total Amount [USD] Out,First Activity Time,First Incoming Time [Date],First Outgoing Time [Date],STD of Time Diff Outgoing,STD of Time Diff Incoming,Number of Unique Tokens,Create Smart Contract,
HarmonyBridge001,0x0d043128146654c7683fbf30ac98d7b2285ded00,Yes,0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,2022-06-23 11:16:02 +0000,0,No,,,,No,0,0,,,2022-06-23 11:06:46 +0000,2022-06-23 11:06:46 +0000,2022-06-23 11:32:40 +0000,,,,No,
HarmonyBridge001,0x4Ef7423DA78DfFFCF6d445f74A775364aea4f365,No,0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,2021-12-01 05:41:08 +0000,98,No,,,,No,58,40,,,2017-09-01 05:39:19 +0000,2017-09-01 05:39:19 +0000,2017-09-01 05:45:23 +0000,,,,No,
HarmonyBridge002,0x0d043128146654c7683fbf30ac98d7b2285ded00,Yes,0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,2022-06-23 11:16:02 +0000,0,No,,,,No,0,2,,,2022-06-23 11:06:46 +0000,2022-06-23 11:06:46 +0000,2022-06-23 11:32:40 +0000,,,,No,
HarmonyBridge002,0xb5E46aFa9596cB6F44d2Fcb6Dbd2096dbe35396C,No,0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,2022-06-20 16:13:58 +0000,409,No,,,,No,222,187,,,2021-03-28 08:22:36 +0000,2021-03-28 08:22:36 +0000,2021-03-28 09:29:18 +0000,,,,No,
HarmonyBridge002,0xb59d3F8c216193EfC7548bC6D461175e65270E62,No,0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,2022-04-20 08:01:23 +0000,85,No,,,,No,64,21,,,2021-12-25 03:58:35 +0000,2021-12-25 03:58:35 +0000,2021-12-25 04:09:54 +0000,,,,No,
HughKarp001,0xad6a4ace6dcc21c93ca9dbc8a21c7d3a726c1fb1,Yes,0x87b2a7559d85f4653f13e6546a14189cd5455d45,2020-12-14 09:40:24 +0000,8,No,Normal Wallet,0xf44abab6cd0c72b15e702ac331df89fcb9522a9e29556eeefbe36f828452d515,0.1,Yes,6,2,,,2020-12-11 08:50:03 +0000,2020-12-11 08:50:03 +0000,2020-12-11 09:08:10 +0000,,,,No,
HughKarp001,0x436CacC576409044500269f55521112Eb98cf0fB,No,0x87b2a7559d85f4653f13e6546a14189cd5455d45,2021-03-31 11:25:08 +0000,2,No,,,,No,1,1,,,2021-03-17 14:46:10 +0000,2021-03-17 14:46:10 +0000,2021-04-05 14:05:52 +0000,,,,No,
HughKarp001,0x6628CEAF3376DBae7B49f53fe69a49c151C9f6Bb,No,0x87b2a7559d85f4653f13e6546a14189cd5455d45,2021-01-22 16:48:08 +0000,193,No,,,,No,168,25,,,2016-07-30 21:27:02 +0000,2016-07-30 21:27:02 +0000,2016-10-31 15:05:31 +0000,,,,No,
Liquid003,0x5578840aae68682a9779623fa9e8714802b59946,Yes,0xb478c93509ecba29f7983974c3c00bef3e1c2bd9,2021-08-18 19:58:26 +0000,0,No,,,,No,0,0,,,2021-08-18 19:56:30 +0000,2021-08-18 19:56:30 +0000,2021-08-18 20:14:42 +0000,,,,No,
Liquid003,0x4264422fa4c1E60C2Ee10d19549C0775FE544d7C,No,0xb478c93509ecba29f7983974c3c00bef3e1c2bd9,2020-10-07 06:33:27 +0000,133,No,,,,No,73,60,,,2020-05-22 07:43:57 +0000,2020-05-22 07:43:57 +0000,2020-05-22 08:54:07 +0000,,,,No,
Liquid003,0xe7d3b31df9e18e2927060a53e811fc7e6a580f8d,No,0xb478c93509ecba29f7983974c3c00bef3e1c2bd9,2020-06-18 10:45:57 +0000,23,No,,,,No,21,2,,,2020-06-18 10:45:57 +0000,2020-06-18 10:45:57 +0000,2020-06-18 11:34:54 +0000,,,,No,
Upbit001,0xa09871aeadf4994ca12f5c0b6056bbd1d343c029,Yes,0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,2019-11-27 04:06:41 +0000,0,No,,,,No,0,0,,,2019-11-27 04:06:41 +0000,2019-11-27 04:06:41 +0000,2019-11-28 07:08:53 +0000,,,,No,
Upbit001,0x63815bc1893db0c7f53de2a0d126b186dbb37c3d,No,0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,2019-11-27 04:06:19 +0000,1,No,,,,No,0,1,,,2019-11-27 04:06:19 +0000,2019-11-27 04:06:19 +0000,2019-11-27 04:09:05 +0000,,,,No,
Upbit001,0xcFa2AB94DE9F4c5010B2bbBc2f46EA6ccd27E305,No,0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,2019-11-20 02:08:15 +0000,6,No,,,,No,3,3,,,2019-11-20 02:08:15 +0000,2019-11-20 02:08:15 +0000,2019-11-20 02:11:06 +0000,,,,No,
