file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link,catch_any
Curve_Finance001.csv,0,17,137,1,train,Phishing,10/10/2019 22:08,Train,https://defiyield.app/rekt-database/curve.finance,False
Curve_Finance002.csv,1,2,25,0,train,Phishing,16/06/2022 8:39,Train,https://defiyield.app/rekt-database/curve.finance,True
Curve_Finance003.csv,1,41,283,0,train,Phishing,01/09/2021 5:20,Train,https://defiyield.app/rekt-database/curve.finance,True
Curve_Finance004.csv,1,17,72,0,train,Phishing,15/04/2022 19:29,Train,https://defiyield.app/rekt-database/curve.finance,True
Curve_Finance005.csv,1,83,564,0,train,Phishing,24/10/2020 18:07,Train,https://defiyield.app/rekt-database/curve.finance,True
DAOMaker2003.csv,1,21,86,0,train,Access Control,28/04/2021 12:42,Train,https://www.coinfirm.com/blog/dao-maker-hack/,True
DAOMaker2004.csv,1,8,396,0,train,Access Control,01/07/2021 13:02,Train,https://www.coinfirm.com/blog/dao-maker-hack/,True
DEGO001.csv,1,6,40,1,train,Access Control,10/09/2020 18:30,Train,https://coinquora.com/multichain-defi-nft-platform-dego-finance-suffers-10m-hack/,True
DistX001.csv,2,55,113,0,train,Rug pull,28/08/2020 23:58,Train,https://cryptoslate.com/another-rug-pull-takes-place-taking-a-1-5m-market-cap-ethereum-coin-to-15000/,True
DragonEx001.csv,25,2695,22280,0,train,Rug pull,05/06/2018 9:02,Train,"https://medium.com/sentinel-protocol/dragonex-hack-tracking-stolen-etheruem-tokens-to-exchanges-using-catv-537b8f042af2#:~:text=Save-,DragonEx%20Hack%3A%20Tracking%20stolen%20Ethereum%20TOKENS%20to%20Exchanges%20using%20CATV,transferred%20out%20of%20their%20wallets.",True
Eterbase001.csv,54,9734,15105,0,train,Access Control,19/04/2020 0:29,Train,https://blog.merklescience.com/hacktrack/hack-track-eterbase-cryptocurrency-exchange,True
EthereumYiled001.csv,1,251,775,2,train,Rug pull,22/11/2020 16:52,Train,https://defiyield.app/rekt-database/ethereum_yield,True
EthereumYiled002.csv,1,374,1114,1,train,Rug pull,08/12/2020 17:31,Train,https://defiyield.app/rekt-database/ethereum_yield,True
FakeAVA Token Sale001.csv,1,16,100,0,train,Phishing,31/05/2017 17:22,Train,,True
FakeHack137001.csv,0,5,36,1,train,Phishing,03/08/2016 10:46,Train,,False
FakeHeroTokenSale001.csv,1,5,61,0,train,Phishing,18/08/2017 2:26,Train,,True
FakeHeroTokenSale002.csv,1,501,4160,0,train,Phishing,15/08/2017 16:56,Train,,True
FakeHeroTokenSale003.csv,1,6,32,0,train,Phishing,16/06/2017 16:48,Train,,True
FakeHeroTokenSale004.csv,0,12,75,1,train,Phishing,27/07/2017 13:12,Train,,False
