file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link
Upbit005.csv,0,1,73,4,train,Access Control,20/08/2021 6:34,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
Upbit006.csv,0,0,44,5,train,Access Control,20/08/2021 6:13,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
Upbit007.csv,0,0,251,3,train,Access Control,18/08/2021 22:54,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
Upbit008.csv,0,0,38,1,train,Access Control,18/08/2021 20:31,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
Upbit009.csv,0,0,35,1,train,Access Control,18/08/2021 20:45,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
Vesperi001.csv,1,9,76,0,train,Price Manupilation,20/07/2021 1:49,Train,https://medium.com/vesperfinance/on-the-vesper-lend-beta-rari-fuse-pool-23-exploit-9043ccd40ac9
Vesperi002.csv,1,6,211,0,train,Price Manupilation,20/07/2021 2:31,Train,https://twitter.com/VesperFi/status/1455567032536248324
Vesperi003.csv,1,2,113,0,train,Price Manupilation,08/10/2021 23:16,Train,https://twitter.com/VesperFi/status/1455567032536248324
Vesperi004.csv,1,7,160,0,train,Price Manupilation,20/07/2021 2:37,Train,https://twitter.com/VesperFi/status/1455567032536248324
Vesperi005.csv,1,3,71,0,train,Price Manupilation,20/07/2021 1:38,Train,https://twitter.com/VesperFi/status/1455567032536248324
Warp001.csv,1,0,28,0,train,Flash Loan Attack,16/12/2020 18:21,Train,https://slowmist.medium.com/analysis-of-warp-finance-hacked-incident-cb12a1af74cc
Warp002.csv,1,0,49,0,train,Flash Loan Attack,16/12/2020 15:34,Train,https://slowmist.medium.com/analysis-of-warp-finance-hacked-incident-cb12a1af74cc
Wormhole001.csv,0,3,20901,3,train,Access Control,15/10/2021 17:37,Train,https://blog.chainalysis.com/reports/wormhole-hack-february-2022/
Zenith001.csv,0,8,204,1,train,Rug pull,02/10/2020 6:04,Train,https://defiyield.app/rekt-database/zenit
Zenith002.csv,1,6,102,0,train,Rug pull,18/10/2020 0:54,Train,https://defiyield.app/rekt-database/zenit
Zenith003.csv,0,5,167,1,train,Rug pull,03/02/2018 18:13,Train,https://defiyield.app/rekt-database/zenit
Zenith004.csv,0,4,244,1,train,Rug pull,14/11/2020 22:06,Train,https://defiyield.app/rekt-database/zenit
Zenith005.csv,0,81,1608,1,train,Rug pull,07/05/2020 18:36,Train,https://defiyield.app/rekt-database/zenit
Zenith006.csv,0,11,226,3,train,Rug pull,17/11/2017 15:20,Train,https://defiyield.app/rekt-database/zenit
dxHub001.csv,0,1,14,3,train,Rug pull,06/12/2020 4:28,Train,https://defiyield.app/rekt-database/dxhub
0xhabitat001.csv,1,2,56,0,validation,Phishing,17/03/2021 12:11,Validation,https://blog.gnosis.pm/the-0xhabitat-multisig-got-drained-an-analysis-16ab74ddf42
Armor001.csv,0,0,15,10,validation,Phishing,28/02/2021 0:20,Validation,https://defiyield.app/rekt-database/armor
AscendEX001.csv,92,187,3289,0,validation,Access Control,01/12/2021 0:18,Validation,https://medium.com/hapi-labs/ascendex-hack-analysis-d0f1b0544763
BentFinance001.csv,2,54,294,1,validation,Access Control,19/11/2021 10:10,Validation,https://halborn.com/explained-the-bent-finance-hack-december-2021/
BrincFinance001.csv,0,0,227,1,validation,Access Control,30/11/2021 4:19,Validation,https://medium.com/@brinc.fi/brinc-fi-exploit-post-mortem-76ca6b355211
BrincFinance002.csv,0,4,480,1,validation,Access Control,30/11/2021 4:53,Validation,https://medium.com/@brinc.fi/brinc-fi-exploit-post-mortem-76ca6b355211
Bt.Finance001.csv,0,0,0,1,validation,Flash Loan Attack,08/02/2021 20:13,Validation,https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28
CashioApp001.csv,0,62,7743,1,validation,Access Control,10/03/2022 2:59,Validation,https://ambcrypto.com/decoding-the-if-but-and-so-of-cashio-hack/
CoinSWOP001.csv,0,1,10,12,validation,Rug pull,03/12/2020 21:27,Validation,https://twitter.com/CaptainJackAPE/status/1333759436792315905
FakeDfinityTokenSale001.csv,0,0,25,2,validation,Phishing,16/05/2019 16:29,Validation,
FakePhishing4287001.csv,5,0,17,1,validation,Phishing,20/09/2019 20:02,Validation,
HarvestFinance001.csv,13,65,1835,0,validation,Flash Loan Attack,20/10/2020 15:04,Validation,https://www.coindesk.com/tech/2020/10/26/harvest-finance-24m-attack-triggers-570m-bank-run-in-latest-defi-exploit/
Holy001.csv,1,0,953,1,validation,Rug pull,17/12/2020 20:38,Validation,https://defiyield.app/rekt-database/holy
IndexFinance001.csv,1,93,9182,0,validation,Flash Loan Attack,06/12/2020 11:57,Validation,https://decrypt.co/83681/defi-protocol-indexed-finance-hacked-for-16-million-team-finds-hacker
MonoXfinance002.csv,1,1,595,0,validation,Price Manupilation,20/10/2021 14:31,Validation,https://slowmist.medium.com/detailed-analysis-of-the-31-million-monox-protocol-hack-574d8c44a9c8
Omni Bridge001.csv,2,194,1804,1,validation,Access Control,16/10/2021 7:41,Validation,https://cryptoslate.com/ethereum-pow-loses-200-weth-to-omni-bridge-vulnerability-exploit/
Peak_Defi001.csv,4,7,117,1,validation,Access Control,19/08/2021 23:46,Validation,
QAN_Platform001.csv,7,1,126,16,validation,Access Control,01/11/2021 13:00,Validation,https://defiyield.app/rekt-database/qan
RBaseFinance001.csv,0,0,43,2,validation,Rug pull,10/12/2020 15:57,Validation,https://defiyield.app/rekt-database/rbase_finance
RBaseFinance002.csv,0,0,3,2,validation,Rug pull,10/12/2020 15:02,Validation,https://defiyield.app/rekt-database/rbase_finance
Reflation001.csv,1,0,90,2,validation,Rug pull,14/12/2020 20:47,Validation,https://archive.ph/N2HfF
RibbonFinance001.csv,1,5,126,0,validation,Phishing,12/05/2019 2:33,Validation,https://coinculture.com/au/tech/ribbon-finance-community-accuse-vc-of-airdrop-exploit/
Ronin001.csv,2,21,18674,0,validation,Access Control,25/02/2022 2:08,Validation,https://medium.com/uno-re/biggest-crypto-hack-of-all-time-a-breakdown-of-the-ronin-network-hack-ef8d9e25ba6b
SashimiSwap001.csv,2,355,14856,0,validation,Flash Loan Attack,28/09/2020 12:37,Validation,https://defiyield.app/rekt-database/sashimi
SushiSwap001.csv,0,1,1251,1,validation,Access Control,16/09/2021 16:04,Validation,https://www.pymnts.com/news/security-and-risk/2021/sushiswap-crypto-platform-victimized-by-3m-hack/
Unicrypt001.csv,0,615,10112,1,validation,Rug pull,16/12/2020 12:11,Validation,
XToken001.csv,0,0,0,1,validation,Flash Loan Attack,12/05/2021 13:43,Validation,https://thedefiant.io/xtoken-defi-project-hacked-for-over-25m/
bZx001.csv,2,1704,23220,0,validation,Access Control,22/09/2021 0:34,Validation,https://www.coindesk.com/business/2021/11/05/defi-lender-bzx-suffers-hack-for-reported-55m/
